gene,strand,AGR_pos,wt_codon,type,mRNA_CGA,mRNA_CGC,mRNA_CGG,mRNA_CGT,RBS_CGA,RBS_CGC,RBS_CGG,RBS_CGT
mcrA,1,529,AGG,remaining AGR,1.0256,1.0256,1.0426,1.1493,0.3061,0.0979,0.7634,0.1857
mcrA,1,550,AGA,remaining AGR,0.9978,1.0772,1.0059,1.0193,0.479,0.1259,1.0942,0.0728
mcrA,1,757,AGA,remaining AGR,1.0771,1.2019,1.3706,1.0822,1.9444,32.8227,4.4724,18.334
ycgX,-1,43,AGA,remaining AGR,1.0151,0.9852,1.1865,0.9923,0.0458,0.0458,0.4618,0.0458
ycgX,-1,133,AGA,remaining AGR,1.2459,1.2459,1.2459,1.4873,1.046,0.5663,5.8803,0.4837
ycgX,-1,169,AGA,remaining AGR,1.0,1.1114,1.0809,0.9835,1.046,0.3118,0.1757,0.1135
ycgX,-1,178,AGG,remaining AGR,1.0258,0.9877,1.0049,1.0246,0.291,0.291,2.3516,0.291
bluR,-1,307,AGA,remaining AGR,1.041,1.0592,1.0211,1.0228,0.418,0.1596,2.8273,0.3926
bluR,-1,523,AGA,remaining AGR,1.0037,1.0615,1.0798,1.0261,0.4219,0.2386,0.5571,0.2532
bluR,-1,664,AGA,remaining AGR,0.993,1.0508,1.0294,0.9743,0.132,0.4065,8.673,0.4065
bluR,-1,667,AGG,remaining AGR,1.0028,1.187,0.9741,1.016,0.1778,0.1778,0.2478,0.1241
bluF,-1,88,AGG,remaining AGR,0.9625,1.0043,0.9893,0.9743,0.8447,0.6221,0.0734,0.8447
bluF,-1,370,AGA,remaining AGR,0.9205,0.9178,1.1268,1.058,1.046,0.2059,1.1635,0.2147
bluF,-1,970,AGA,remaining AGR,0.9463,0.9389,1.0121,0.9325,1.046,0.5663,5.3742,0.6196
ymgA,1,211,AGA,remaining AGR,1.0,0.9637,0.9637,1.0453,0.5241,0.1693,2.8154,0.3446
ymgA,1,262,AGA,remaining AGR,1.1201,1.1645,1.1479,1.1451,1.046,0.5663,5.8803,0.6196
ariR,1,220,AGA,remaining AGR,1.2236,1.3131,1.164,1.2037,1.2968,0.7282,3.083,0.7846
ymgC,1,61,AGG,remaining AGR,0.9693,1.0216,0.9438,0.9815,0.2993,0.0972,0.3275,0.4101
ymgC,1,229,AGG,remaining AGR,1.001,1.0012,0.9962,1.0041,1.1091,0.1416,0.625,0.4786
ycgG,1,115,AGA,remaining AGR,1.0,1.0,1.0082,1.0,0.6376,0.4653,0.1262,0.6376
ycgG,1,388,AGA,remaining AGR,1.0636,1.1003,1.0929,1.0074,1.0764,0.7459,2.5738,0.8162
ycgG,1,496,AGG,remaining AGR,0.9452,1.0889,0.9542,1.0325,0.7663,0.7663,0.7663,0.5851
ycgG,1,646,AGA,remaining AGR,1.1016,0.9917,1.109,0.9865,0.6866,0.5827,2.3516,0.6376
ycgG,1,721,AGA,remaining AGR,1.0717,1.1063,1.0717,1.0717,1.0266,0.6079,3.2257,0.6652
ycgG,1,964,AGA,remaining AGR,0.9997,1.0126,1.0445,0.9863,0.8353,1.1972,0.9402,0.9174
ymgF,1,184,AGA,remaining AGR,1.0334,1.0045,1.0254,1.003,0.7033,0.3841,1.4465,0.4587
ymgF,1,190,AGA,remaining AGR,1.0,1.0073,1.0236,1.0332,0.7028,0.587,1.7292,0.4481
ymgF,1,205,AGG,remaining AGR,1.0321,1.01,1.0146,0.9987,0.4313,0.049,0.4065,0.1105
ymgJ,1,100,AGA,remaining AGR,0.9694,0.9491,1.1274,0.9485,2.2038,1.7969,2.2038,2.2038
ycgJ,1,166,AGG,remaining AGR,0.9622,0.9865,1.0022,1.0368,0.0544,0.0358,0.3584,0.0392
pliG,-1,94,AGA,remaining AGR,1.0282,1.0564,1.0487,1.0333,0.795,0.795,2.0059,0.795
pliG,-1,262,AGA,remaining AGR,1.0,1.0479,1.0175,1.002,0.9842,0.5827,1.9408,0.6376
hlyE,-1,520,AGG,remaining AGR,1.0768,1.0566,1.066,1.0566,0.0124,0.0124,0.0561,0.0008
hlyE,-1,781,AGA,remaining AGR,0.8448,0.8452,0.95,1.041,1.0257,0.5258,2.8226,0.4797
hlyE,-1,871,AGA,remaining AGR,0.9722,0.953,1.0078,1.1036,0.8948,0.8948,1.604,0.8948
umuC,1,361,AGA,remaining AGR,0.974,1.0173,0.9832,0.9692,1.1446,0.0862,3.6674,0.2026
umuC,1,670,AGA,remaining AGR,1.0199,1.1169,1.0096,1.0553,2.1579,0.3552,3.6143,0.7828
umuC,1,958,AGG,remaining AGR,0.9533,1.0097,0.9631,0.9631,0.3147,0.088,0.4065,0.0704
umuC,1,1156,AGA,remaining AGR,0.9531,0.9687,0.9351,0.9278,10.1441,4.7458,11.5032,1.2703
umuC,1,1258,AGG,remaining AGR,1.0553,1.1688,1.0962,1.093,0.2665,0.0509,0.3143,0.049
ycgB,-1,1516,AGA,remaining AGR,1.0,1.0,1.1002,1.0,1.0942,0.912,0.0229,1.0701
ldcA,-1,184,AGA,remaining AGR,0.9554,1.0014,0.9629,0.9554,0.9408,0.7451,1.9209,0.7451
ymgE,1,247,AGA,remaining AGR,1.0087,0.9387,0.9899,0.9668,1.046,0.3226,1.4898,0.2634
ycgY,1,118,AGA,remaining AGR,1.0112,1.0053,0.9934,0.9994,0.6941,0.6095,1.8849,0.6095
ycgY,1,358,AGA,remaining AGR,1.086,1.1155,1.086,1.086,0.3468,0.3468,0.0119,0.3468
ycgV,-1,190,AGA,remaining AGR,0.9972,1.0175,1.0801,1.0271,0.6989,0.6989,16.4874,0.6989
ycgV,-1,1132,AGA,remaining AGR,1.0403,1.1166,1.0636,1.0675,0.8737,0.8737,0.8737,0.8745
ycgV,-1,1177,AGG,remaining AGR,0.9072,0.9603,0.9793,0.9174,1.2648,0.2609,0.9223,0.2515
ycgV,-1,2449,AGG,remaining AGR,0.8914,0.9105,1.1068,0.9126,0.1745,0.113,0.223,0.0862
ispE,-1,589,AGG,remaining AGR,1.0722,1.0872,1.1232,1.1266,0.1555,0.0921,0.4065,0.1007
ispE,-1,646,AGA,remaining AGR,0.984,1.0116,1.0474,0.9745,1.2899,0.978,1.3113,0.7137
ispE,-1,838,AGA,remaining AGR,1.0215,1.0243,1.0399,1.0613,1.3811,45.6823,4.9823,47.3639
prmC,1,100,AGA,remaining AGR,1.0333,1.0354,1.008,0.9778,0.7298,0.1456,1.9967,0.1852
tpr,-1,40,AGA,remaining AGR,1.0209,1.0963,1.0814,1.0426,0.0077,0.0062,0.0097,0.0049
tpr,-1,55,AGG,remaining AGR,0.8707,0.9568,1.0,0.8707,3.3189,2.7664,0.8992,1.7079
rssA,1,46,AGA,remaining AGR,0.9971,1.0087,0.9949,0.9743,0.9139,0.8493,1.7161,0.5664
rssA,1,646,AGG,remaining AGR,0.9739,0.9838,1.0,1.0377,0.155,0.054,0.4065,0.155
rssA,1,742,AGG,remaining AGR,0.9635,1.0034,1.0408,0.9635,0.1653,0.077,0.6697,0.1902
rssA,1,862,AGG,remaining AGR,0.9944,1.0176,1.0339,1.1048,0.5827,0.5827,1.0,0.4857
rssB,1,226,AGA,remaining AGR,1.0,1.0453,0.9969,1.0227,1.046,0.2032,0.33,0.2011
rssB,1,412,AGG,remaining AGR,0.9964,1.0823,1.0,1.0446,0.8636,0.7694,0.9372,0.8636
galU,1,61,AGG,remaining AGR,0.9742,1.0744,1.0393,1.0068,0.9369,0.7663,0.4324,1.0471
hns,-1,55,AGA,remaining AGR,1.0896,0.9632,1.0603,1.0439,1.0,1.0,1.6878,0.7033
tdk,1,280,AGA,remaining AGR,0.9715,0.8806,1.0123,0.939,0.9408,0.5827,1.31,0.6376
tdk,1,484,AGA,remaining AGR,1.0243,1.1113,1.0403,0.9524,0.4867,0.5827,0.5463,0.5622
tdk,1,601,AGG,remaining AGR,0.9818,0.9456,0.9963,0.9194,1.5503,1.8022,0.956,1.9719
oppF,1,784,AGG,remaining AGR,0.875,0.9549,1.0278,0.9323,0.5016,8.7581,1.8095,7.6199
oppF,1,967,AGA,remaining AGR,1.0,1.0,1.0573,1.0,1.057,0.6562,1.3483,0.718
clsA,-1,214,AGA,remaining AGR,1.0,1.0343,1.0418,1.0281,2.3441,0.8248,1.4889,1.575
yciY,1,115,AGG,remaining AGR,0.9436,1.0071,1.0177,0.9539,17.7757,17.7757,0.7634,18.5939
tonB,1,634,AGA,remaining AGR,1.0439,1.0439,1.0633,1.0799,0.437,0.1995,1.5457,0.2163
yciC,-1,334,AGA,remaining AGR,1.0249,1.1127,1.0471,1.0534,0.2402,0.0379,0.5828,0.1876
yciF,-1,97,AGA,remaining AGR,0.9541,1.1625,1.0204,1.0697,4.4156,0.868,5.1377,0.776
yciV,1,163,AGA,remaining AGR,1.0415,1.0397,1.0417,1.1042,0.3631,0.3029,1.675,0.2159
yciV,1,349,AGA,remaining AGR,1.0039,1.0567,1.063,0.9994,2.4598,2.5757,0.5952,1.4242
yciV,1,631,AGA,remaining AGR,0.9669,1.0078,1.0744,1.0418,1.2524,0.255,1.3113,0.6562
yciQ,1,607,AGA,remaining AGR,1.0772,1.1473,1.3086,1.0793,1.2322,1.178,0.02,1.2322
yciQ,1,805,AGG,remaining AGR,1.0384,1.036,1.0882,1.1235,0.3195,0.1848,0.7985,0.2209
yciQ,1,1018,AGA,remaining AGR,0.9608,1.0293,0.9841,0.9821,0.7346,0.116,1.4699,0.3098
yciQ,1,1102,AGA,remaining AGR,1.0324,0.9956,1.0107,0.9548,0.7161,0.4996,1.2524,0.9349
yciQ,1,1111,AGA,remaining AGR,1.0164,1.1909,1.0969,1.118,1.046,0.0217,1.0634,0.0538
yciQ,1,1123,AGG,remaining AGR,0.9481,0.9241,0.9927,0.991,0.591,0.1153,0.6561,0.1037
yciQ,1,1705,AGG,remaining AGR,1.1689,1.3505,1.1689,1.289,4.32,1.8076,3.1248,4.1299
cysB,1,112,AGA,remaining AGR,1.0213,0.9085,1.0034,0.9876,0.5699,0.6523,0.2901,0.6236
acnA,1,253,AGG,remaining AGR,0.927,0.9886,1.0049,0.9466,0.5827,0.5827,0.5827,0.5827
yciM,1,64,AGA,remaining AGR,0.9594,1.0071,0.9698,1.0181,1.2524,1.2524,1.4994,1.2524
yciM,1,733,AGA,remaining AGR,1.0225,1.0304,1.0628,1.0198,0.2664,0.1743,0.4491,0.1284
gmr,-1,163,AGG,remaining AGR,0.965,1.0632,0.9958,1.035,0.2161,0.0224,0.4249,3.2618
gmr,-1,508,AGG,remaining AGR,0.9818,1.1582,0.9935,1.0495,0.3054,0.1892,0.7985,0.207
yciW,-1,355,AGG,remaining AGR,1.0067,0.9646,1.0595,1.0027,0.6466,0.1653,0.4065,0.1229
ycjD,-1,37,AGA,remaining AGR,1.0596,1.0596,1.1243,1.0596,0.3825,0.2369,1.046,0.2592
ycjD,-1,223,AGG,remaining AGR,0.9007,1.0435,1.0698,0.9617,0.4095,0.254,0.8169,0.248
puuP,-1,1363,AGA,remaining AGR,0.9865,0.9921,1.0307,1.0157,1.5844,1.62,1.7969,1.62
puuA,-1,52,AGG,remaining AGR,1.0212,0.9634,0.9969,1.0135,0.501,0.2438,0.4264,0.267
puuD,1,46,AGG,remaining AGR,0.9652,1.0172,0.9968,0.9685,0.0181,0.0181,0.1444,0.0181
puuD,1,52,AGG,remaining AGR,0.9712,0.9645,1.0,1.0628,0.0984,0.1314,0.5849,0.1314
puuD,1,316,AGG,remaining AGR,0.9213,1.0246,1.0206,0.9905,0.2331,0.1444,0.6095,0.158
puuR,1,367,AGA,remaining AGR,1.0345,1.0884,1.0603,1.0735,1.0,0.5571,2.8069,0.957
pspF,-1,283,AGA,remaining AGR,0.9627,0.9636,0.9682,1.0347,14.8479,14.8479,0.2616,6.9087
pspF,-1,640,AGA,remaining AGR,1.0302,1.0669,1.1684,1.0684,1.046,0.0727,0.5852,0.2157
pspA,1,247,AGA,remaining AGR,1.0219,1.0512,1.0309,1.0541,0.4347,0.3626,2.6271,0.2644
pspD,1,217,AGG,remaining AGR,1.0309,1.2514,1.0577,1.1542,0.3194,0.3194,0.4154,0.3194
ycjM,1,1210,AGG,remaining AGR,0.9421,0.9463,1.0228,0.9333,0.5441,0.1779,1.155,0.3126
ycjM,1,1396,AGG,remaining AGR,0.7451,0.773,1.0,0.743,0.0981,3.0837,0.0946,4.8694
ycjM,1,1516,AGA,remaining AGR,1.0423,1.2327,1.0793,1.1297,0.6564,0.2086,3.6882,0.1545
ycjT,1,721,AGG,remaining AGR,1.0026,1.0602,1.0,1.001,0.8863,0.6111,0.8565,0.4104
ycjT,1,1372,AGA,remaining AGR,1.1359,1.1859,1.191,1.1615,0.98,0.1278,0.7543,0.1072
ycjU,1,211,AGG,remaining AGR,0.9778,0.9442,1.0114,0.9959,0.0666,0.0556,0.0556,0.0955
ompG,1,70,AGG,remaining AGR,0.9254,1.0133,0.9821,0.9553,0.2099,0.1601,0.2513,0.2099
ompG,1,193,AGA,remaining AGR,1.0645,1.0639,1.0752,1.0349,11.9738,11.9738,0.5476,11.9738
ycjX,1,52,AGA,remaining AGR,1.0,1.0,1.0,1.0,1.7602,2.0633,5.6728,8.0125
ycjF,1,70,AGG,remaining AGR,0.9798,0.9724,0.9686,0.9944,0.5401,0.0263,0.5996,0.0693
tyrR,1,70,AGA,remaining AGR,1.0808,1.0948,1.073,1.0835,1.046,5.7447,16.5194,5.2502
tyrR,1,757,AGA,remaining AGR,1.0,1.0056,1.0256,1.0,1.0,1.0,1.0,1.0
ycjG,1,304,AGA,remaining AGR,0.9656,1.0432,1.0198,1.0196,0.4579,0.3793,1.7161,0.3793
mpaA,-1,295,AGA,remaining AGR,1.0842,1.1037,1.0501,1.0608,0.6469,0.3308,0.5782,0.3501
mpaA,-1,499,AGA,remaining AGR,0.9587,1.0274,1.0238,0.9711,0.9408,0.1008,2.3516,0.4252
ycjY,-1,514,AGA,remaining AGR,1.0575,1.1767,1.0386,1.1129,1.046,0.2089,5.6215,0.6196
pgrR,1,619,AGA,remaining AGR,1.0,1.0253,1.0,1.0285,0.058,0.0399,0.1709,0.0053
pgrR,1,874,AGG,remaining AGR,1.0115,0.9416,1.0514,0.9715,0.3377,0.2906,0.8353,0.2906
ynaI,-1,109,AGA,remaining AGR,0.9897,1.1703,1.0902,1.0737,1.5914,1.4136,3.7729,1.2583
ynaI,-1,568,AGA,remaining AGR,1.0,0.9603,1.0506,1.0036,0.6669,1.0,2.3023,1.0
abgT,-1,61,AGA,remaining AGR,1.0824,1.0824,1.0824,1.0824,4.4156,3.1899,0.1529,4.5173
ydaM,-1,1024,AGA,remaining AGR,0.9945,1.0257,1.0202,1.0222,0.587,0.3181,2.0546,0.2569
ydaN,1,67,AGA,remaining AGR,1.0,1.0181,1.006,1.0143,0.3474,0.158,0.3497,0.1753
uspF,-1,253,AGA,remaining AGR,0.8782,0.8524,0.8708,0.8228,3.6882,3.2965,2.2038,3.1579
pfo,-1,973,AGA,remaining AGR,1.0086,1.1036,1.0411,1.0316,1.0,1.0,3.7771,1.0
ydbH,1,1117,AGA,remaining AGR,1.1129,1.0948,1.0865,1.0688,0.3552,0.8353,2.5731,0.9285
ydbL,1,82,AGA,remaining AGR,0.9444,1.0346,0.9476,0.9938,0.0513,0.0513,0.7066,0.0513
feaR,-1,418,AGA,remaining AGR,1.0,0.9394,1.0034,0.9529,0.7794,0.651,1.0907,0.4254
feaB,1,778,AGA,remaining AGR,1.0348,1.0227,1.0855,1.0803,1.6556,0.4375,7.2063,0.9835
paaZ,-1,2020,AGG,remaining AGR,0.9953,1.1019,1.0353,0.989,0.1965,0.0953,0.3026,0.1253
paaA,1,268,AGA,remaining AGR,1.0444,1.0298,1.0905,1.06,1.0953,0.1806,1.6382,0.2278
paaA,1,436,AGA,remaining AGR,0.9547,1.0115,1.0155,0.9883,0.0439,1.2785,0.8386,1.6472
paaA,1,619,AGA,remaining AGR,0.9664,0.9727,1.0714,0.9895,0.9842,0.2967,15.3189,0.5544
paaA,1,832,AGG,remaining AGR,1.0036,0.9713,1.0295,0.9542,1.8777,0.5326,0.6977,0.207
paaH,1,1327,AGG,remaining AGR,0.9348,1.0199,1.0,0.9595,1.7314,1.2635,3.3707,1.8944
paaK,1,163,AGG,remaining AGR,0.8481,0.8481,0.9329,0.8481,0.3292,0.1007,0.4653,0.0923
paaX,1,553,AGA,remaining AGR,1.0012,1.0447,1.0645,0.996,0.7664,0.0446,0.6906,0.218
paaY,1,547,AGG,remaining AGR,0.9931,0.9582,1.0244,0.956,0.5038,0.3565,0.3801,0.5827
ydbD,1,838,AGG,remaining AGR,0.7347,0.789,1.0,0.7467,0.005,0.0041,0.4065,0.0049
ydbD,1,916,AGA,remaining AGR,0.9963,0.9963,1.028,1.0205,0.7634,0.6376,1.6142,0.7665
ydbD,1,1117,AGA,remaining AGR,0.9178,0.9643,0.9687,0.9199,1.046,27.8599,98.2303,62.6316
ydbD,1,1471,AGG,remaining AGR,1.0285,1.0077,1.0378,0.9984,15.7663,15.7663,15.7663,15.7663
ydbD,1,1900,AGG,remaining AGR,1.1509,1.1904,1.1186,1.1257,0.0718,0.0718,0.3246,0.0718
ydbD,1,2173,AGG,remaining AGR,1.1046,1.1361,1.0953,1.2659,0.0875,0.0234,0.0938,0.0841
ydbD,1,2284,AGA,remaining AGR,1.0027,0.9936,1.0624,1.0416,0.4523,0.2012,0.4867,0.4694
ynbA,1,43,AGG,remaining AGR,0.8274,0.8238,0.9209,0.8885,0.2265,0.1653,0.5827,0.0555
ynbB,1,88,AGA,remaining AGR,1.0191,1.0361,1.0755,1.0079,0.9369,0.7434,0.6823,1.1262
ynbB,1,577,AGA,remaining AGR,1.0,1.0407,0.9839,0.9808,0.421,0.1211,0.0714,0.4912
ynbB,1,580,AGA,remaining AGR,1.0791,1.1023,1.1113,1.0791,0.3656,0.3656,0.3175,0.3656
ynbB,1,832,AGG,remaining AGR,0.9917,0.9756,1.1003,0.9026,28.2455,24.429,1.0,27.0298
ynbC,1,637,AGA,remaining AGR,0.9527,0.9757,0.9783,0.9495,0.5425,0.9309,0.4371,0.0583
ynbC,1,730,AGA,remaining AGR,0.9543,1.0118,1.0573,0.9992,0.3221,0.1192,0.3879,0.247
ynbC,1,802,AGG,remaining AGR,1.0566,1.0532,1.0532,1.0532,0.9901,0.1102,0.8017,0.0953
ynbD,1,454,AGG,remaining AGR,0.9656,0.9716,0.9532,0.9329,0.3268,0.0969,0.6759,0.0811
ynbD,1,1228,AGA,remaining AGR,0.9586,0.9884,1.0841,1.0594,0.9408,0.5224,2.2481,0.4513
ynbD,1,1273,AGA,remaining AGR,1.0863,1.1264,1.1233,1.1418,0.615,0.615,0.0257,0.615
ynbD,1,1288,AGG,remaining AGR,1.0741,1.0833,1.1007,1.0828,0.3805,0.1479,0.5454,0.3638
hrpA,1,70,AGA,remaining AGR,0.9866,1.013,1.0693,0.9866,0.9408,0.6389,2.3516,0.6991
hrpA,1,406,AGA,remaining AGR,1.0129,1.0473,1.0536,1.0285,0.3246,0.3246,0.6977,0.3246
hrpA,1,1000,AGG,remaining AGR,1.0136,1.0699,1.0074,1.0415,0.6764,0.1282,0.3188,0.128
ydcF,1,286,AGA,remaining AGR,0.9897,1.0707,0.9793,1.0224,1.3582,0.1402,1.5033,0.4386
aldA,1,1006,AGG,remaining AGR,1.0165,1.1024,1.019,1.0627,0.3936,0.1077,0.435,0.2023
aldA,1,1048,AGA,remaining AGR,1.0155,1.0673,1.0306,1.0379,0.1653,0.1653,0.1653,0.1653
cybB,1,187,AGG,remaining AGR,0.9471,0.837,0.981,0.8312,0.1534,0.1232,0.3175,0.1232
hokB,-1,145,AGG,remaining AGR,0.9656,0.9796,0.9854,0.9996,0.3989,0.3989,1.0,0.3989
trg,1,46,AGG,remaining AGR,0.9931,1.0391,0.9762,0.9611,0.3713,48.0132,0.5027,34.5387
trg,1,553,AGA,remaining AGR,0.9428,1.0778,1.0555,1.0207,1.046,0.1417,0.5663,0.0895
trg,1,1300,AGG,remaining AGR,0.9481,1.0346,0.9546,0.9758,0.8488,0.8488,1.5862,0.8488
trg,1,1426,AGA,remaining AGR,1.0682,1.0748,1.094,1.0688,0.9223,0.0655,0.6385,0.0525
ydcI,-1,238,AGA,remaining AGR,0.9823,1.0481,1.0829,1.0128,4.0355,2.2481,5.7845,2.29
ydcI,-1,310,AGG,remaining AGR,0.9898,1.0,0.9966,0.9741,0.5011,14.4295,0.529,14.2696
ydcH,1,103,AGA,remaining AGR,1.0281,1.0342,1.0628,1.075,0.2847,0.2847,14.2221,0.5593
rimL,1,382,AGA,remaining AGR,0.9791,1.0109,1.1041,1.0027,0.704,0.2011,2.3516,0.2995
ydcK,-1,373,AGA,remaining AGR,1.0,0.9345,1.0123,0.9479,0.5208,0.5033,1.9917,0.8545
ydcK,-1,475,AGG,remaining AGR,0.9664,0.9266,1.0,0.8793,0.4001,0.092,0.4065,0.0598
tehA,1,949,AGA,remaining AGR,0.9727,1.0213,0.9619,0.9183,0.7513,0.0777,4.0355,0.2428
tehB,1,280,AGA,remaining AGR,1.0035,0.9728,1.0493,1.0449,0.2613,0.2613,0.5616,0.1743
tehB,1,493,AGG,remaining AGR,0.963,1.0099,1.0695,1.0035,0.4297,0.3164,0.4702,0.3769
ydcO,-1,1162,AGA,remaining AGR,1.0239,1.0253,1.0169,1.0309,1.046,0.4592,3.9219,0.7145
hicA,1,79,AGG,remaining AGR,0.9755,0.9535,1.0379,0.9598,0.3587,0.2392,0.9148,0.3748
hicA,1,91,AGG,remaining AGR,1.0294,0.9434,1.0,0.9637,0.061,0.0144,0.1499,0.0651
hicB,1,292,AGG,remaining AGR,0.8547,0.8843,0.889,0.8755,1.8777,1.046,3.6557,2.0546
ydcT,1,439,AGA,remaining AGR,0.9875,1.1049,0.9982,1.005,2.1492,2.0891,4.66,2.1492
patD,1,607,AGA,remaining AGR,0.9752,0.9752,0.9752,0.9752,0.5208,0.0874,0.3442,0.0442
patD,1,1249,AGG,remaining AGR,1.0772,1.0772,1.0772,1.2152,0.4426,0.1203,0.493,0.1145
yncL,-1,76,AGA,remaining AGR,0.9437,0.9932,0.9612,0.9437,6.6401,7.4148,0.4982,7.6859
ydcZ,-1,436,AGA,remaining AGR,0.9078,1.0449,1.0594,0.9568,0.9408,0.5827,2.5731,0.6376
curA,1,526,AGA,remaining AGR,1.0664,1.2062,1.0555,1.1507,0.4159,0.2086,0.4159,0.4069
curA,1,889,AGG,remaining AGR,0.9981,0.9981,1.1483,1.0,0.0467,0.0186,0.202,1.3344
mcbR,1,406,AGG,remaining AGR,0.9576,0.9485,1.0424,0.9771,0.48,0.2839,0.8562,0.3399
mcbR,1,481,AGG,remaining AGR,1.058,1.058,1.058,1.058,0.3231,0.3231,0.3231,0.3231
mcbR,1,601,AGA,remaining AGR,1.006,1.0128,0.9975,1.05,1.3429,1.0723,1.6077,1.0278
yncD,-1,2092,AGA,remaining AGR,1.0328,1.056,1.0169,1.03,23.0766,12.8553,0.6977,23.0766
yncE,1,724,AGG,remaining AGR,1.0143,0.9692,0.995,0.9855,0.2993,0.1457,0.5571,0.2184
yncG,1,601,AGG,remaining AGR,0.9712,1.0677,1.0,1.0729,0.0769,3.5174,0.4065,0.0658
ydcD,1,193,AGA,remaining AGR,0.8986,0.8835,0.9036,0.8835,1.0,0.1808,0.0656,0.0046
ydcD,1,235,AGG,remaining AGR,1.0013,1.2939,1.0013,1.1612,2.8148,1.0367,6.3293,0.9174
ydcC,1,49,AGA,remaining AGR,1.0792,1.1252,1.2356,1.1353,1.5894,4.4155,7.7258,1.1376
ydcC,1,226,AGA,remaining AGR,0.9872,1.0385,1.1037,1.1518,1.046,31.909,0.5055,29.894
ydcC,1,367,AGG,remaining AGR,0.9816,0.9831,1.0169,1.0155,1.5407,1.0464,1.1262,0.7451
ydcC,1,694,AGA,remaining AGR,1.0036,1.0646,0.994,1.0373,1.046,0.3374,1.0404,0.0913
ydcC,1,844,AGA,remaining AGR,0.9708,1.0255,1.0256,0.9981,0.978,1.1954,4.718,1.1954
ydcC,1,973,AGA,remaining AGR,1.0,1.1276,1.0,1.0394,0.3751,0.3751,1.0,0.3751
ydcC,1,976,AGA,remaining AGR,1.0,1.1213,1.0,1.0289,1.0,0.0513,0.6669,0.0804
ydcC,1,1063,AGA,remaining AGR,1.1463,1.1067,1.1341,1.1554,0.9369,0.5326,1.3753,0.1141
ydcC,1,1093,AGA,remaining AGR,1.0,1.0105,1.0298,1.0,1.5375,1.624,2.9586,1.5939
yddH,-1,187,AGG,remaining AGR,1.0285,1.0468,1.0638,0.9587,26.7161,26.7161,47.958,19.5755
yddH,-1,322,AGA,remaining AGR,1.0081,1.0196,1.0637,1.0201,0.7173,0.1517,0.1789,0.1996
nhoA,1,139,AGG,remaining AGR,1.0324,1.0984,1.0249,1.0285,0.1879,0.0564,0.2604,0.0581
narV,-1,337,AGG,remaining AGR,1.0041,1.0678,1.0567,0.9827,0.4185,0.1231,0.7985,0.3314
narU,-1,100,AGA,remaining AGR,1.0245,1.1543,1.0291,1.0265,0.6288,0.0979,1.7969,0.4611
fdnG,1,214,AGA,remaining AGR,0.9694,0.9681,1.0346,0.9883,1.046,0.3226,1.4898,0.2943
fdnH,1,31,AGG,AGR in first 30,0.8744,0.9781,1.0,0.9457,0.1555,0.0983,0.4065,0.1026
yddM,-1,85,AGA,remaining AGR,1.0,0.9537,0.9853,0.9284,0.0382,1.1638,0.7298,1.4334
sra,-1,115,AGA,remaining AGR,0.9675,0.9675,1.0181,0.9783,0.6941,0.5131,0.8067,0.718
ddpF,-1,463,AGA,remaining AGR,1.0191,1.02,1.0142,0.9923,1.3828,0.2811,0.6522,0.3035
ddpF,-1,886,AGG,remaining AGR,0.9425,0.9756,0.9734,1.0055,0.0704,0.0561,0.2369,0.041
dosC,-1,256,AGG,remaining AGR,0.9387,0.9357,0.9928,0.9589,0.5241,0.8737,1.7161,0.956
dosC,-1,769,AGA,remaining AGR,1.1013,1.3425,1.1066,1.2219,1.0,1.0,0.1366,1.4207
dosC,-1,784,AGA,remaining AGR,1.0189,1.0207,0.9953,0.9352,2.5412,0.1016,35.8729,0.2734
dosC,-1,817,AGA,remaining AGR,1.0521,1.0319,1.1497,1.0326,0.0764,0.0648,0.1906,0.0607
dosC,-1,1339,AGA,remaining AGR,1.0403,1.002,1.2384,1.002,0.8014,0.8014,0.1157,0.8014
dosC,-1,1348,AGA,remaining AGR,0.9907,0.9907,0.9907,0.9907,0.8737,0.8737,0.7703,0.8737
yddW,-1,37,AGA,remaining AGR,0.9973,1.0917,1.098,1.0253,0.3948,0.056,5.421,0.1679
yddW,-1,40,AGA,remaining AGR,1.0,1.0602,1.0344,1.0473,0.4754,0.1182,1.1446,0.2854
yddW,-1,523,AGG,remaining AGR,0.9187,0.8526,0.969,0.8314,3.4183,1.046,3.2224,0.8003
yddW,-1,589,AGA,remaining AGR,0.9756,0.9756,1.0244,0.9756,2.228,1.5526,3.9897,2.3606
yddW,-1,1096,AGG,remaining AGR,0.9784,0.9897,1.0608,1.0192,1.0621,0.468,3.4693,0.4621
gadC,-1,256,AGA,remaining AGR,0.9855,0.9342,0.9979,0.9751,1.0162,0.7958,2.6351,0.7958
pqqL,-1,1351,AGA,remaining AGR,1.0,0.9991,1.0005,0.97,0.092,0.0846,1.0,0.1327
pqqL,-1,1489,AGA,remaining AGR,1.0596,1.1101,1.0618,1.075,0.3341,0.4867,2.2769,0.6095
pqqL,-1,1591,AGG,remaining AGR,0.8805,0.8574,0.8645,0.8081,29.601,3.1,0.6662,2.9669
yddB,-1,205,AGA,remaining AGR,0.9767,0.9767,1.0189,1.0893,0.4234,0.2293,1.5179,0.2509
ydeM,-1,382,AGA,remaining AGR,1.1065,1.1065,1.1065,1.1065,1.0729,0.9058,2.4194,0.9372
